Geneid	CO2	avg.z	locus
gene-SYNPCC7002_RS04655	4	-0.9450833727141464	32049.SYNPCC7002_A0932
gene-SYNPCC7002_RS04655	8	-0.5948236986468461	32049.SYNPCC7002_A0932
gene-SYNPCC7002_RS04655	30	0.44441406319689325	32049.SYNPCC7002_A0932
gene-SYNPCC7002_RS04660	0.04	1.3525907556929384	32049.SYNPCC7002_A0933
gene-SYNPCC7002_RS04660	4	-0.7256178849977569	32049.SYNPCC7002_A0933
gene-SYNPCC7002_RS04660	8	-0.8239891906624872	32049.SYNPCC7002_A0933
gene-SYNPCC7002_RS04660	30	0.19701631996729735	32049.SYNPCC7002_A0933
gene-SYNPCC7002_RS04665	0.04	1.1291668285436685	32049.SYNPCC7002_A0934
gene-SYNPCC7002_RS04665	4	-0.45078645830398695	32049.SYNPCC7002_A0934
gene-SYNPCC7002_RS04665	8	-0.9825630698841994	32049.SYNPCC7002_A0934
gene-SYNPCC7002_RS04665	30	0.30418269964451505	32049.SYNPCC7002_A0934
gene-SYNPCC7002_RS04670	0.04	1.3994927046853873	32049.SYNPCC7002_A0935
gene-SYNPCC7002_RS04670	4	-0.702512797033132	32049.SYNPCC7002_A0935
gene-SYNPCC7002_RS04670	8	-0.7635351893957893	32049.SYNPCC7002_A0935
gene-SYNPCC7002_RS04670	30	0.06655528174353038	32049.SYNPCC7002_A0935
gene-SYNPCC7002_RS04675	0.04	1.5924749232883073	32049.SYNPCC7002_A0936
gene-SYNPCC7002_RS04675	4	-0.768344803926472	32049.SYNPCC7002_A0936
gene-SYNPCC7002_RS04675	8	-0.7402788487879496	32049.SYNPCC7002_A0936
gene-SYNPCC7002_RS04675	30	-0.08385127057387981	32049.SYNPCC7002_A0936
gene-SYNPCC7002_RS04680	0.04	1.2430403295626138	32049.SYNPCC7002_A0937
gene-SYNPCC7002_RS04680	4	-0.9453130410874455	32049.SYNPCC7002_A0937
gene-SYNPCC7002_RS04680	8	-0.8500777813742	32049.SYNPCC7002_A0937
gene-SYNPCC7002_RS04680	30	0.5523504928990292	32049.SYNPCC7002_A0937
gene-SYNPCC7002_RS04685	0.04	-1.2966168052916553	32049.SYNPCC7002_A0938
gene-SYNPCC7002_RS04685	4	-0.11532971943462558	32049.SYNPCC7002_A0938
gene-SYNPCC7002_RS04685	8	0.12569459291405682	32049.SYNPCC7002_A0938
gene-SYNPCC7002_RS04685	30	1.2862519318122203	32049.SYNPCC7002_A0938
gene-SYNPCC7002_RS04690	0.04	1.2372880421841999	32049.SYNPCC7002_A0939
gene-SYNPCC7002_RS04690	4	-0.863635690249578	32049.SYNPCC7002_A0939
gene-SYNPCC7002_RS04690	8	-0.9218004380620717	32049.SYNPCC7002_A0939
gene-SYNPCC7002_RS04690	30	0.5481480861274728	32049.SYNPCC7002_A0939
gene-SYNPCC7002_RS04695	0.04	1.310509256278098	32049.SYNPCC7002_A0940
gene-SYNPCC7002_RS04695	4	-0.5939458273407436	32049.SYNPCC7002_A0940
gene-SYNPCC7002_RS04695	8	-0.8961405761333546	32049.SYNPCC7002_A0940
gene-SYNPCC7002_RS04695	30	0.17957714719598006	32049.SYNPCC7002_A0940
gene-SYNPCC7002_RS04705	0.04	1.0694592568972532	32049.SYNPCC7002_A0942
gene-SYNPCC7002_RS04705	4	-0.05556399862376962	32049.SYNPCC7002_A0942
gene-SYNPCC7002_RS04705	8	0.189132694788047	32049.SYNPCC7002_A0942
gene-SYNPCC7002_RS04705	30	-1.2030279530614967	32049.SYNPCC7002_A0942
gene-SYNPCC7002_RS04710	0.04	1.4931653783157022	32049.SYNPCC7002_A0943
gene-SYNPCC7002_RS04710	4	-0.5174943484584837	32049.SYNPCC7002_A0943
gene-SYNPCC7002_RS04710	8	-0.7980976255863718	32049.SYNPCC7002_A0943
gene-SYNPCC7002_RS04710	30	-0.1775734042708657	32049.SYNPCC7002_A0943
gene-SYNPCC7002_RS04715	0.04	-1.2232212514970784	32049.SYNPCC7002_A0944
gene-SYNPCC7002_RS04715	4	0.13788906873380885	32049.SYNPCC7002_A0944
gene-SYNPCC7002_RS04715	8	-0.06718432039268768	32049.SYNPCC7002_A0944
gene-SYNPCC7002_RS04715	30	1.1525165031559976	32049.SYNPCC7002_A0944
gene-SYNPCC7002_RS04720	0.04	1.215133085949789	32049.SYNPCC7002_A0945
gene-SYNPCC7002_RS04720	4	-0.17679606229765757	32049.SYNPCC7002_A0945
gene-SYNPCC7002_RS04720	8	-0.6894492920349709	32049.SYNPCC7002_A0945
gene-SYNPCC7002_RS04720	30	-0.34888773161716913	32049.SYNPCC7002_A0945
gene-SYNPCC7002_RS04725	0.04	-0.06471260727959292	32049.SYNPCC7002_A0946
gene-SYNPCC7002_RS04725	4	-0.8165653498731769	32049.SYNPCC7002_A0946
gene-SYNPCC7002_RS04725	8	-0.680721377539751	32049.SYNPCC7002_A0946
gene-SYNPCC7002_RS04725	30	1.5619993346924999	32049.SYNPCC7002_A0946
gene-SYNPCC7002_RS04730	0.04	0.8067279657920401	32049.SYNPCC7002_A0947
gene-SYNPCC7002_RS04730	4	-1.0368947824117634	32049.SYNPCC7002_A0947
gene-SYNPCC7002_RS04730	8	-0.8095719990662955	32049.SYNPCC7002_A0947
gene-SYNPCC7002_RS04730	30	1.0397388156859921	32049.SYNPCC7002_A0947
gene-SYNPCC7002_RS04745	0.04	1.0924239430895375	32049.SYNPCC7002_A0949
gene-SYNPCC7002_RS04745	4	-0.9985644467584082	32049.SYNPCC7002_A0949
gene-SYNPCC7002_RS04745	8	-0.24880676145843333	32049.SYNPCC7002_A0949
gene-SYNPCC7002_RS04745	30	0.1549472651273047	32049.SYNPCC7002_A0949
gene-SYNPCC7002_RS04750	0.04	1.6198569282653763	32049.SYNPCC7002_A0950
gene-SYNPCC7002_RS04750	4	-0.38414039777062564	32049.SYNPCC7002_A0950
gene-SYNPCC7002_RS04750	8	-0.8307040588183076	32049.SYNPCC7002_A0950
gene-SYNPCC7002_RS04750	30	-0.4050124716764605	32049.SYNPCC7002_A0950
gene-SYNPCC7002_RS04755	0.04	1.4011423715243412	32049.SYNPCC7002_A0951
gene-SYNPCC7002_RS04755	4	-0.6872553934913181	32049.SYNPCC7002_A0951
gene-SYNPCC7002_RS04755	8	-0.58131284971178665	32049.SYNPCC7002_A0951
gene-SYNPCC7002_RS04755	30	-0.13257412832120155	32049.SYNPCC7002_A0951
gene-SYNPCC7002_RS04760	0.04	-1.5547563671705191	32049.SYNPCC7002_A0952
gene-SYNPCC7002_RS04760	4	0.5355345069260077	32049.SYNPCC7002_A0952
gene-SYNPCC7002_RS04760	8	0.8402583995017276	32049.SYNPCC7002_A0952
gene-SYNPCC7002_RS04760	30	0.1789634607428148	32049.SYNPCC7002_A0952
gene-SYNPCC7002_RS04765	0.04	-1.5475677359362148	32049.SYNPCC7002_A0953
gene-SYNPCC7002_RS04765	4	0.7335259285587563	32049.SYNPCC7002_A0953
gene-SYNPCC7002_RS04765	8	0.7152300211637393	32049.SYNPCC7002_A0953
gene-SYNPCC7002_RS04765	30	0.09881178621371241	32049.SYNPCC7002_A0953
