K02110_downstream.fna.motif.h1_5;High-covariation	4.477159175274068	0	0	10.599454395416943	8.730325076051244	5.470426643265675	21.615025332868584	44.15384751456085	19.36111600781655	46.518790121174334	37.173032967927355	9.766100106023055	7.204939855829066	23.863064210286794	45.131659894444304	37.24822889814756
gene-SYNPCC7002_RS15365	720.8226272191249	757.5287989711202	821.7092520921503	771.1103072665826	423.42076618848535	402.98809605390477	508.9355964739057	455.2051422334488	476.98749437438954	507.7193664653885	500.85770735733695	487.4911636256508	451.2093584712953	467.9812036795132	506.79093089803087	426.0266180225627
gene-SYNPCC7002_RS15370	401.8250359808476	424.1642418896512	432.2735875935009	451.80174360464724	203.70758510786237	170.49496371511356	171.93770151145463	197.64103173184384	190.97100789528142	164.1448737132866	168.2568860653554	207.5296272529899	177.42164394979073	131.24685315657737	152.31935214374954	157.14096566406002
gene-SYNPCC7002_RS15375	443.2387583521327	572.0380142915479	564.6817135230417	518.0483335760031	178.24413696937958	202.40578580083	213.20274987420373	212.3589809033641	214.7323775412381	213.98643455740194	256.2982799367623	279.96153637266093	261.17906977380363	171.0186268403887	184.28761123564757	291.0017882667778
gene-SYNPCC7002_RS15385	419.73367268194386	385.2500912575731	394.62814002529814	270.2860870831321	247.3592104881186	287.197398771448	263.3103086003991	222.8718017401643	231.45334136617058	239.23949205175373	308.1448785499241	249.84939437908983	284.5951243052481	234.6534647344868	277.371659767939	258.40958798089866
gene-SYNPCC7002_RS15390	304.4468239186366	358.0101858151184	282.98991620235194	286.18526867625746	209.52780182522986	265.31569219838525	286.89033623625573	210.25641673600407	186.5707542571413	217.97375942493116	235.755288033434	230.3171941670437	227.85622294059422	189.57878789283396	184.28761123564757	257.2455808278316
gene-SYNPCC7002_RS15395	1009.5993940243023	1101.2704628878098	848.9697486070559	1016.2226901605994	768.2686066925095	844.2691786106692	746.7008751354601	648.6410456305725	590.5140382384047	532.307869815152	609.4420931320722	647.0041320240274	526.8612269575004	551.501928415517	447.5556272865727	605.2837195948978
gene-SYNPCC7002_RS15400	539.4976806205252	547.3923855578985	584.1534967479741	556.4713557593896	425.60334745749816	426.69327817472265	363.5254260527898	358.48719053488696	326.49881994999726	350.2200341979839	379.5562313567319	355.6488121943396	354.84328789958147	322.1513668388717	368.57522247129515	345.71012446093204
gene-SYNPCC7002_RS15405	6.715738762911101	0	2.59623776332433	0	11.640433434734993	3.6469510955104503	3.930004605976106	6.307692502080122	1.76010145525605	15.28474532552871	1.9564754193645975	6.510733404015371	8.1055573378077	15.90870947352453	4.701214572337949	9.31205722453689
gene-SYNPCC7002_RS15410	0	0	0	0	0	0	0	0	0	0	0	1.6276833510038426	0.9006174819786332	0	0	0
gene-SYNPCC7002_RS16270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-SYNPCC7002_RS15420	95.13963247457394	116.74245189623427	94.76267836133803	104.66961215474232	45.834206649269035	62.90990639755527	49.12505757470132	68.33333543920132	42.2424349261452	39.87324867529229	46.95541006475034	54.52739225862872	80.15495589609836	42.423225262732075	31.02801617743046	74.49645779629512
gene-SYNPCC7002_RS17150	52.606620309470294	58.371225948117136	61.01158743812175	83.47070336390843	54.56453172532028	52.88079088490153	64.84507599860575	53.61538626768104	29.92172473935285	47.18334426576254	25.434180451739767	35.809033722084536	42.32902165299576	43.74895105219245	49.83287446678225	37.24822889814756
gene-SYNPCC7002_RS17155	13.431477525822203	19.457075316039045	28.558615396567628	11.924386194844061	32.01119194552123	24.61691989469554	31.440036847808848	23.128205840960447	15.84091309730445	11.29742045799948	11.738852516187585	14.649150159034583	16.2111146756154	17.234435262984906	17.864615374884202	16.296100142939558
gene-SYNPCC7002_RS15435	7.835028556729619	3.891415063207809	18.173664343270307	3.974795398281354	11.640433434734993	15.499542155919412	5.895006908964159	13.666667087840265	9.680558003908274	4.651879012117433	2.934713129046896	8.952258430521134	0.9006174819786332	7.954354736762265	13.163400802546256	10.476064377604
gene-SYNPCC7002_RS15440	32.45940402073699	28.537043796857265	40.24168533152711	51.6723401776576	36.376354483546855	21.8817065730627	34.38754030229093	46.256411681920895	22.88131891832865	17.278407759293323	27.390655871104364	16.276833510038426	18.012349639572665	7.954354736762265	20.685344118286974	40.74025035734889
gene-SYNPCC7002_RS15445	734.2541047449471	866.48842074093875	897.0001472285559	802.9086704528335	687.5130997390355	665.5685749306572	596.378198956874	640.2307889611324	322.09856631185716	333.6061805832788	444.11992019576365	397.9685793204395	407.97971933632084	379.1575757856679	318.7423480045129	407.4025035734889
gene-SYNPCC7002_RS17025	20.147216288733304	22.05135202484425	16.875545461608144	22.523840590261006	26.190975228153732	5.470426643265675	14.737517272410397	24.17948792464047	6.160355093396175	11.961974602587686	34.23831983888046	20.346041887548033	23.416054531444463	13.257257894603773	15.984129545949024	13.968085836805335
gene-SYNPCC7002_RS15450	94.02034268075542	71.34260949214317	66.20406296477042	60.946862773647425	93.85099456755088	45.586888693880624	88.42510363446239	59.92307876976116	89.76517421805855	101.01222997740713	94.88905783918298	81.38416755019213	89.1611307158847	67.61201526247925	77.09991898634236	96.61259370457023
gene-SYNPCC7002_RS15455	107.45182020657762	120.63386695944207	73.9927762547434	83.47070336390843	96.03357583656368	139.49587940327473	120.84764163376526	89.35897711280172	88.0050727628025	136.8981537851702	115.43204974251125	145.6776599148439	142.29756215262404	114.01241789359246	112.82914973611076	140.84486552112045
gene-SYNPCC7002_RS16850	0	1.297138354402603	0	0	0.727527089670937	0	0	0	1.76010145525605	0	0	0.8138416755019213	0	0	0	2.3280143061342224
gene-SYNPCC7002_RS15465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-SYNPCC7002_RS15470	2.238579587637034	0	5.19247552664866	0	0	0.9117377738776126	0	0	1.76010145525605	0.6645541445882048	1.9564754193645975	0	1.8012349639572665	0	1.8804858289351793	0
gene-SYNPCC7002_RS15475	39.17514278364809	70.04547113774056	36.347328686540614	43.72274938109489	13.095487614076866	18.234755477552252	18.667521878386502	26.28205209200051	11.440659459164324	19.27207019305794	22.499467322692873	19.53220021204611	22.51543704946583	33.143144736509434	16.924372460416613	26.77216452054356
gene-SYNPCC7002_RS15480	292.1346361866329	365.793015941534	408.9074477235819	474.32558419490823	225.5333977979905	180.5240792277673	227.94026714661413	218.66667340544424	186.5707542571413	180.09417318340348	205.42991903328274	170.09291017990154	191.83152366144887	153.7841915774038	205.91319826840214	211.84930185821423
gene-SYNPCC7002_RS15485	132.076195670585	116.74245189623427	186.92911895935174	177.5408611232338	101.85379255393119	94.82072848327171	80.56509442251017	91.46154128016177	105.606087315363	106.99321727870097	78.2590167745839	112.31015121926514	90.96236567984195	76.8920957887019	84.62186230208307	144.3368869803218
gene-SYNPCC7002_RS15490	110.80968958803318	99.87965328900043	98.65703500632453	148.3923615358372	82.93808822248683	66.55685749306572	90.39010593745044	87.25641294544168	93.28537712857064	75.75917248305535	90.97610700045378	62.66580901364794	67.54631114839749	92.80080526222642	81.8011335586803	87.30053648003334
gene-SYNPCC7002_RS16855	39.17514278364809	19.457075316039045	37.64544756820278	30.473431386823712	15.278068883089679	20.96996879918509	24.56252878735066	10.512820836800204	23.761369645956677	19.27207019305794	16.63004106459908	13.021466808030741	37.825934243102594	30.49169315758868	18.804858289351795	9.31205722453689
gene-SYNPCC7002_RS15495	44.771591752740676	23.348490379246854	19.471783224932473	35.77315858453218	24.00839395914092	24.61691989469554	19.65002302988053	17.871795422560346	19.36111600781655	30.56949065105742	12.717090225869883	8.952258430521134	12.608644747700865	27.840241578667925	9.402429144675898	17.46010729600667
gene-SYNPCC7002_RS15500	116.40613855712576	93.39396151698742	84.37772730804072	79.49590796562708	61.112275532358716	55.61600420653436	58.95006908964159	54.66666835136106	43.122485653773225	37.21503209693947	41.08598380665655	42.319767126099904	41.42840417101713	34.46887052596981	31.02801617743046	46.560286122684445
gene-SYNPCC7002_RS15505	277.5838688669922	316.50175847423515	232.3632798175275	229.2132013008914	213.16543727358456	193.28840806205386	216.15025332868584	176.6153900582434	251.69450810161516	203.35356824399065	219.12524696883492	216.48188568351105	211.6451082649788	247.91072262909057	218.13635615648082	158.30497281712712
gene-SYNPCC7002_RS15510	180.20565680478123	173.8165394899488	166.1592168527571	128.51838454443043	76.3903444154484	123.0845994734777	112.00513127031901	97.7692337822419	81.84471766940632	86.39203879646662	70.43311509712551	63.47965068914986	93.66421812577785	68.93774105193962	68.63773275613404	55.87234334722134
gene-SYNPCC7002_RS15515	320.1168810320959	280.18188455096225	368.66576239205483	388.20501723214556	113.49422598866617	121.26112392572247	122.8126439367533	83.05128461072161	101.20583367722287	76.42372662764355	94.88905783918298	62.66580901364794	103.57101042754282	92.80080526222642	94.96453436122655	69.84042918402668
gene-SYNPCC7002_RS15520	493.606799073966	504.5868198626126	642.5688464227716	749.9113984757488	305.5613776617936	252.55136336409868	224.99276369213206	326.94872802448634	223.53288481751835	229.27117988293065	186.84340254931908	237.641769246561	234.16054531444465	234.6534647344868	240.70218610370296	175.7650801131338
