Geneid	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
gene-SYNPCC7002_RS00370	4158	3477	2271	2565	10673	8816	8053	7454	13296	17733	11875	14314	12279	8933	12547	9129
gene-SYNPCC7002_RS16605	3	0	0	1	6	6	5	7	3	3	5	4	6	2	7	0
gene-SYNPCC7002_RS00375	1107	869	801	853	3315	2974	2653	2271	1842	2245	1749	2231	1833	1192	1619	1346
gene-SYNPCC7002_RS00380	1083	1070	966	946	4534	3618	3316	3033	2351	3233	2008	2662	2068	1361	2129	1587
gene-SYNPCC7002_RS00385	3554	3378	3702	3798	2598	2067	1936	1826	1274	1732	1181	1055	1330	723	1237	1036
gene-SYNPCC7002_RS16340	1779	1625	1787	1860	1394	1149	1059	1005	665	894	638	587	654	334	603	515
gene-SYNPCC7002_RS00390	3928	3162	3481	3262	7167	5397	5289	4327	3923	4953	3595	5105	3674	2978	3786	3073
gene-SYNPCC7002_RS00395	991	844	1349	1248	571	448	461	387	777	1062	631	676	638	451	704	494
gene-SYNPCC7002_RS17030	36	28	21	18	34	29	51	13	32	30	31	34	41	13	35	20
gene-SYNPCC7002_RS17035	75	63	53	38	94	88	82	57	69	105	114	116	115	64	75	74
gene-SYNPCC7002_RS00405	466	342	429	361	559	396	382	364	535	675	530	490	421	343	448	401
gene-SYNPCC7002_RS00410	1467	1146	1324	1063	1873	1593	1475	1323	1888	2375	1674	1936	1793	1191	1783	1453
gene-SYNPCC7002_RS00415	1735	1642	1784	1704	2706	2104	2155	2097	2850	3736	2517	2512	2386	1841	3087	2017
gene-SYNPCC7002_RS00420	266	190	182	194	381	365	281	290	265	459	258	330	297	227	344	215
gene-SYNPCC7002_RS00425	409	285	210	195	609	622	479	408	535	697	540	618	507	302	488	426
gene-SYNPCC7002_RS00430	596	548	606	629	1597	1258	1155	991	961	1256	850	1124	1043	731	884	774
gene-SYNPCC7002_RS00435	540	478	452	402	1491	1370	1174	997	525	824	465	638	516	307	482	419
gene-SYNPCC7002_RS00440	181	174	183	172	365	323	251	313	259	273	165	235	249	170	228	195
gene-SYNPCC7002_RS00445	562	501	542	575	1033	797	769	755	822	902	755	751	730	460	629	577
gene-SYNPCC7002_RS00450	439	393	473	473	936	759	669	710	475	710	479	709	472	398	517	417
gene-SYNPCC7002_RS00455	797	638	501	430	1165	1207	1003	859	1058	1552	1149	1381	1221	757	961	1015
gene-SYNPCC7002_RS00460	1841	1537	1537	1348	2832	2239	2250	2051	3167	4360	2463	2952	2922	2146	3034	2263
gene-SYNPCC7002_RS00465	2182	1827	1765	1812	2980	2347	2299	2093	3749	5196	3321	3246	3679	2403	3818	2937
gene-SYNPCC7002_RS00470	1313	992	823	861	2348	1920	1679	1482	1943	2692	1738	2055	1964	1418	1728	1396
gene-SYNPCC7002_RS17175	171	138	142	191	101	51	68	62	64	58	35	66	58	32	47	38
gene-SYNPCC7002_RS00475	16389	15184	12183	13571	25611	20819	20035	18045	29408	36097	26272	28543	31015	20847	28220	24501
gene-SYNPCC7002_RS00480	456	359	379	330	431	332	358	283	432	570	393	558	422	252	330	288
gene-SYNPCC7002_RS00485	1851	1449	1270	1278	893	793	825	538	1035	1266	1157	1424	1101	622	898	892
gene-SYNPCC7002_RS00490	3102	2397	2209	2215	5070	4382	3935	3533	6425	8678	5567	6107	6636	4239	6057	4914
gene-SYNPCC7002_RS00495	1008	924	927	977	2052	1502	1504	1460	1790	2303	1462	1549	1902	1094	1737	1343
gene-SYNPCC7002_RS00500	731	615	597	526	1204	941	926	801	1015	1239	1107	1066	1005	632	864	795
gene-SYNPCC7002_RS00505	28	22	34	44	24	14	24	20	24	28	50	24	18	38	58	34
gene-SYNPCC7002_RS00510	2877	2365	2069	2161	7313	6039	5632	5062	5172	7188	4490	6283	4079	3090	4439	3262
gene-SYNPCC7002_RS00515	5226	4525	3850	4171	12105	8678	8431	8106	9828	13953	9144	9981	10747	7279	10759	8169
gene-SYNPCC7002_RS00520	1973	1667	1542	1470	2743	2359	2158	1875	2859	3753	2489	3351	2812	1716	2416	2014
gene-SYNPCC7002_RS00525	2555	1953	1762	1716	5470	4368	3896	3943	6045	8078	5100	5630	5463	3926	5261	4171
